GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
" ""06013""","Contra Costa, CA",8,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,44071179,43693692,46148318,50524735,60310035,64303690,65249786,78926742,63068617,61456190,60007860,62207407,63040706,68282696,68883126,66338536,72093546,80921805,82594531,77484753
" ""06015""","Del Norte, CA",8,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,605354,611450,633803,666610,680125,783601,795493,854071,731731,730738,726312,694371,681876,678597,687045,706293,688089,709056,704591,791153
" ""06015""","Del Norte, CA",8,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,87.18,88.058,91.277,96.002,97.948,112.85,114.563,122.999,105.38,105.237,104.6,100,98.2,97.728,98.945,101.717,99.095,102.115,101.472,113.938
" ""06015""","Del Norte, CA",8,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,447408,464969,493907,537628,564643,673596,718036,786504,681502,695485,709359,694371,702037,713736,737641,768446,762253,803749,818416,943173
" ""06017""","El Dorado, CA",8,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,5284067,5709892,5828543,6061352,6182343,6360255,6235833,6213848,6060324,6077003,6196566,5984844,6059506,6254485,6432666,6908588,7238157,7471362,7435270,6926104
" ""06017""","El Dorado, CA",8,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,88.291,95.406,97.388,101.278,103.3,106.273,104.194,103.826,101.261,101.54,103.538,100,101.248,104.505,107.483,115.435,120.941,124.838,124.235,115.727
" ""06017""","El Dorado, CA",8,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,4093675,4528222,4722121,5066626,5356315,5721229,5785207,5854817,5848034,5885838,6076146,5984844,6197638,6548820,6919116,7565475,8051829,8501615,8669087,8294970
" ""06019""","Fresno, CA",8,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,28184530,30398297,32093105,32709314,33944485,35837239,34879624,33768459,34242028,34497120,34809834,33632200,34890011,35928123,37347858,38649137,39921581,41016044,42111573,41216318
" ""06019""","Fresno, CA",8,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,83.802,90.385,95.424,97.256,100.929,106.556,103.709,100.405,101.813,102.572,103.502,100,103.74,106.827,111.048,114.917,118.7,121.955,125.212,122.55
" ""06019""","Fresno, CA",8,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,21154630,23158276,25193165,26809282,28194305,30512159,31281600,30957973,31413078,32482865,34096279,33632200,35768408,37243466,38655894,40005910,42158517,44073282,46177593,45932182
" ""06021""","Glenn, CA",8,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,828906,828773,841664,858961,914960,830365,1036433,1063351,1186452,1088832,1025155,968053,1053121,945814,954441,1018131,982720,1103979,1124597,1305510
" ""06021""","Glenn, CA",8,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,85.626,85.612,86.944,88.731,94.516,85.777,107.064,109.844,122.561,112.476,105.899,100,108.787,97.703,98.594,105.173,101.515,114.041,116.171,134.859
" ""06021""","Glenn, CA",8,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,597473,595137,636374,695560,736564,682698,928624,989323,976300,962680,1003673,968053,1083815,962881,948132,990134,985747,1119868,1157124,1349202
" ""06023""","Humboldt, CA",8,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,4350057,4515957,4669025,4713676,4676410,4686975,4604222,4757798,4678757,4960006,4955117,4779382,4752274,4708055,4825000,4870723,4986467,5053603,5185967,4974904
" ""06023""","Humboldt, CA",8,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,91.017,94.488,97.691,98.625,97.845,98.067,96.335,99.548,97.895,103.779,103.677,100,99.433,98.508,100.954,101.911,104.333,105.738,108.507,104.091
" ""06023""","Humboldt, CA",8,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,3308090,3501827,3714095,3900617,3974152,4108367,4181261,4401058,4390370,4723146,4840369,4779382,4882660,4940229,5152070,5264271,5483870,5679488,5966167,5877389
